"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","INDICATIVE CLOSE ","CHNG ","%CHNG ","VOLUME (shares)","VALUE (₹ Crores)","52W H ","52W L ","30 D   %CHNG ","365 D % CHNG -"
"TRENT","4,951.00","4,959.00","4,818.00","4,959.90","4,843.40","-","-116.50","-2.35","5,41,104","262.97","8,345.00","3,750.25","-8.36","25.97"
"ABFRL","248.55","248.55","242.05","248.55","242.70","-","-5.85","-2.35","12,68,608","31.02","364.40","198.75","-7.52","8.58"
"CGPOWER","598.00","598.15","575.00","598.50","584.35","-","-14.15","-2.36","22,69,312","132.32","874.70","421.00","0.51","36.30"
"HUDCO","178.80","179.99","172.79","178.21","173.98","-","-4.23","-2.37","33,46,690","58.86","353.70","152.55","-15.02","-10.45"
"TATAPOWER","353.25","356.00","341.00","351.50","343.15","-","-8.35","-2.38","41,19,735","142.86","494.85","326.35","-0.11","-6.40"
"EXIDEIND","363.80","364.45","352.55","363.85","355.05","-","-8.80","-2.42","12,21,844","43.56","620.35","290.35","4.63","11.56"
"IGL","198.60","199.00","193.20","198.18","193.30","-","-4.88","-2.46","21,35,514","41.85","285.18","153.05","-47.50","-53.05"
"TIINDIA","2,590.05","2,603.95","2,519.30","2,595.45","2,530.60","-","-64.85","-2.50","1,35,292","34.48","4,810.80","2,513.50","-19.02","-27.00"
"HDFCAMC","3,745.10","3,762.85","3,646.50","3,765.25","3,670.40","-","-94.85","-2.52","4,07,896","150.55","4,864.00","3,415.55","1.37","-3.55"
"DIXON","14,222.15","14,240.00","13,630.00","14,151.60","13,794.15","-","-357.45","-2.53","1,60,303","221.35","19,148.90","6,472.00","-8.30","109.30"
"COFORGE","7,719.95","7,719.95","7,430.00","7,633.75","7,438.65","-","-195.10","-2.56","1,85,324","139.70","10,026.80","4,287.25","-13.27","16.34"
"TATACHEM","827.25","829.00","801.85","827.70","805.45","-","-22.25","-2.69","4,86,077","39.51","1,349.00","801.85","-12.32","-13.94"
